pr2,pr3,State,FIPSCode
0.738205467372134,0.009780498730774974,CO,810700000
0.7548194406733642,0.02446043165467626,CO,810900000
0.8505747126436781,0.005791505791505791,CO,811100000
0.7342376767290791,0.02419984387197502,CO,811300000
0.8165359082679541,0.0029563932002956393,CO,811500000
0.6990441247465482,0.014640883977900553,CO,811700000
0.7843038821954484,0.013299196358722709,CO,811900000
0.8596209444265981,0.00523168908819133,CO,812100000
0.75831650933959,0.005628442824135146,CO,812300000
0.8204219110086864,0.012532411408815903,CO,812500000
1.0095693779904307,0.009478672985781991,CT,900104720
1.0673773987206823,0.06312425089892129,CT,900108070
1.0240811153358682,0.023514851485148515,CT,900108980
1.013904338153504,0.013713658804168952,CT,900118500
1.0224274406332454,0.02193548387096774,CT,900118850
1.0240174672489082,0.023454157782515993,CT,900123890
1.0242483026188167,0.023674242424242424,CT,900126620
1.0093506493506494,0.009264024704065878,CT,900133620
1.0238379022646007,0.023282887077997673,CT,900148620
1.0110974106041923,0.01097560975609756,CT,900150580
1.0015197568389058,0.0015174506828528073,CT,900150860
1.015762925598991,0.015518311607697082,CT,900152980
1.0119581464872944,0.011816838995568686,CT,900156060
1.0112359550561798,0.011111111111111112,CT,900163480
1.0153601694915255,0.015127803860198226,CT,900163970
1.0108349267049075,0.010718789407313998,CT,900168170
1.0161943319838056,0.01593625498007968,CT,900168310
1.0319521748093177,0.030962844586496206,CT,900173070
1.0186976144422952,0.018354430379746836,CT,900174190
1.0173818576860403,0.017084890549919914,CT,900177200
1.0033519553072625,0.0033407572383073497,CT,900183430
1.0231189575451871,0.02259654889071487,CT,900183500
1.0088980150581792,0.008819538670284939,CT,900186370
1.0106382978723405,0.010526315789473684,CT,900302060
1.0193236714975846,0.018957345971563982,CT,900304300
1,0,CT,900305910
1.0106183635227983,0.010506798516687269,CT,900308490
1.0193370165745856,0.018970189701897018,CT,900310100
1.0119863013698631,0.011844331641285956,CT,900312270
1.0049751243781095,0.0049504950495049506,CT,900322070
1.0407925407925407,0.03919372900335946,CT,900322630
1.039039039039039,0.03757225433526012,CT,900324800
1.015625,0.015384615384615385,CT,900325990
1.0230352303523036,0.022516556291390728,CT,900327600
1.0445891783567134,0.04268585131894485,CT,900331240
1.005703422053232,0.005671077504725898,CT,900332640
1.0353600689952567,0.034152436484798,CT,900337070
1,0,CT,900337140
1.0119331742243436,0.01179245283018868,CT,900344700
1.0103806228373702,0.010273972602739725,CT,900345820
1.0214094558429974,0.02096069868995633,CT,900350440
1.0241596638655461,0.02358974358974359,CT,900352140
