FIPSCode,jurisdiction,households,median_household_income
17127,"Massac County, Illinois",6011,42604
17129,"Menard County, Illinois",5198,69102
17131,"Mercer County, Illinois",6624,58011
17133,"Monroe County, Illinois",13349,81268
17135,"Montgomery County, Illinois",11339,50304
17137,"Morgan County, Illinois",13864,48508
17139,"Moultrie County, Illinois",5910,59623
17141,"Ogle County, Illinois",20901,59707
17143,"Peoria County, Illinois",73629,54770
17145,"Perry County, Illinois",8323,48298
17147,"Piatt County, Illinois",6700,69271
17149,"Pike County, Illinois",6527,42664
17151,"Pope County, Illinois",1644,40671
17153,"Pulaski County, Illinois",2173,33799
17155,"Putnam County, Illinois",2395,65034
17157,"Randolph County, Illinois",11873,52107
17159,"Richland County, Illinois",6482,48724
17161,"Rock Island County, Illinois",60294,52630
17163,"St. Clair County, Illinois",103063,53681
17165,"Saline County, Illinois",10002,41167
17167,"Sangamon County, Illinois",83661,60466
17169,"Schuyler County, Illinois",2836,46151
17171,"Scott County, Illinois",1959,53973
17173,"Shelby County, Illinois",9203,51157
17175,"Stark County, Illinois",2294,52260
17177,"Stephenson County, Illinois",19609,48016
17179,"Tazewell County, Illinois",54613,62342
17181,"Union County, Illinois",6669,49182
17183,"Vermilion County, Illinois",31180,45384
17185,"Wabash County, Illinois",4896,51432
17187,"Warren County, Illinois",6690,49607
17189,"Washington County, Illinois",5975,59469
17191,"Wayne County, Illinois",7075,49764
17193,"White County, Illinois",6082,47773
17195,"Whiteside County, Illinois",23346,53828
17197,"Will County, Illinois",227848,83504
17199,"Williamson County, Illinois",27089,49053
17201,"Winnebago County, Illinois",114608,52743
17203,"Woodford County, Illinois",14566,71867
18001,"Adams County, Indiana",12476,51713
18003,"Allen County, Indiana",143500,53402
18005,"Bartholomew County, Indiana",31669,59045
18007,"Benton County, Indiana",3403,46188
18009,"Blackford County, Indiana",5225,42217
18011,"Boone County, Indiana",24645,80567
18013,"Brown County, Indiana",6093,61455
18015,"Carroll County, Indiana",7880,56429
18017,"Cass County, Indiana",14666,47545
18019,"Clark County, Indiana",44275,54240
18021,"Clay County, Indiana",10510,53021
18023,"Clinton County, Indiana",12007,52488
18025,"Crawford County, Indiana",3915,43875
18027,"Daviess County, Indiana",11417,51032
18029,"Dearborn County, Indiana",18648,65096
18031,"Decatur County, Indiana",10425,54622
18033,"DeKalb County, Indiana",16789,53808
18035,"Delaware County, Indiana",46028,42705
18037,"Dubois County, Indiana",16550,58994
18039,"Elkhart County, Indiana",72329,55399
18041,"Fayette County, Indiana",9568,43317
18043,"Floyd County, Indiana",29356,61754
18045,"Fountain County, Indiana",7015,49887
18047,"Franklin County, Indiana",8744,58382
18049,"Fulton County, Indiana",7884,49333
18051,"Gibson County, Indiana",13244,52620
18053,"Grant County, Indiana",26121,42593
18055,"Greene County, Indiana",12790,49177
18057,"Hamilton County, Indiana",116982,94644
18059,"Hancock County, Indiana",28215,73142
18061,"Harrison County, Indiana",14584,57132
18063,"Hendricks County, Indiana",58078,78355
18065,"Henry County, Indiana",18408,48235
18067,"Howard County, Indiana",34550,50869
18069,"Huntington County, Indiana",14754,52208
18071,"Jackson County, Indiana",16746,49506
18073,"Jasper County, Indiana",12539,59574
18075,"Jay County, Indiana",8149,44772
18077,"Jefferson County, Indiana",12759,51119
18079,"Jennings County, Indiana",10659,49801
18081,"Johnson County, Indiana",55777,68712
18083,"Knox County, Indiana",14955,46457
18085,"Kosciusko County, Indiana",30676,58402
18087,"LaGrange County, Indiana",12079,60675
18089,"Lake County, Indiana",185437,54249
18091,"LaPorte County, Indiana",42904,51101
18093,"Lawrence County, Indiana",18487,52092
18095,"Madison County, Indiana",51422,47436
18097,"Marion County, Indiana",369033,46692
18099,"Marshall County, Indiana",17245,54229
18101,"Martin County, Indiana",4198,51224
18103,"Miami County, Indiana",13707,47460
18105,"Monroe County, Indiana",55537,47075
18107,"Montgomery County, Indiana",15271,53610
18109,"Morgan County, Indiana",25926,62462
18111,"Newton County, Indiana",5562,53146
18113,"Noble County, Indiana",18090,55033
18115,"Ohio County, Indiana",2513,61148
18117,"Orange County, Indiana",7881,45341
18119,"Owen County, Indiana",8695,48667
18121,"Parke County, Indiana",6145,48788
18123,"Perry County, Indiana",7465,51064
18125,"Pike County, Indiana",5129,52527
18127,"Porter County, Indiana",63969,68044
18129,"Posey County, Indiana",10175,62583
18131,"Pulaski County, Indiana",5200,48370
18133,"Putnam County, Indiana",13439,56169
18135,"Randolph County, Indiana",10477,45601
18137,"Ripley County, Indiana",11165,56295
18139,"Rush County, Indiana",6725,50535
18141,"St. Joseph County, Indiana",101241,50938
18143,"Scott County, Indiana",9004,47123
18145,"Shelby County, Indiana",17725,59214
18147,"Spencer County, Indiana",8109,56998
18149,"Starke County, Indiana",8735,48895
18151,"Steuben County, Indiana",14156,56101
18153,"Sullivan County, Indiana",7707,46517
18155,"Switzerland County, Indiana",4297,47929
18157,"Tippecanoe County, Indiana",69112,51844
18159,"Tipton County, Indiana",6295,55479
18161,"Union County, Indiana",2846,48227
18163,"Vanderburgh County, Indiana",75197,46943
18165,"Vermillion County, Indiana",6616,48377
18167,"Vigo County, Indiana",41874,43859
18169,"Wabash County, Indiana",12875,50637
18171,"Warren County, Indiana",3384,61148
18173,"Warrick County, Indiana",24267,70648
18175,"Washington County, Indiana",10721,47078
18177,"Wayne County, Indiana",26611,44228
18179,"Wells County, Indiana",10874,56265
18181,"White County, Indiana",9745,55086
18183,"Whitley County, Indiana",13548,61153
19001,"Adair County, Iowa",3136,51859
19003,"Adams County, Iowa",1641,49229
19005,"Allamakee County, Iowa",5957,51057
19007,"Appanoose County, Iowa",5416,41111
19009,"Audubon County, Iowa",2677,50397
19011,"Benton County, Iowa",10224,65475
19013,"Black Hawk County, Iowa",52976,52688
19015,"Boone County, Iowa",10940,61111
19017,"Bremer County, Iowa",9585,68023
19019,"Buchanan County, Iowa",8046,61409
19021,"Buena Vista County, Iowa",7550,54556
19023,"Butler County, Iowa",6251,55999
19025,"Calhoun County, Iowa",4191,50800
19027,"Carroll County, Iowa",8674,57674
19029,"Cass County, Iowa",5964,48178
19031,"Cedar County, Iowa",7546,65791
19033,"Cerro Gordo County, Iowa",19213,52902
19035,"Cherokee County, Iowa",5337,54658
19037,"Chickasaw County, Iowa",5191,55385
19039,"Clarke County, Iowa",3854,51571
19041,"Clay County, Iowa",7343,47874
19043,"Clayton County, Iowa",7652,52828
19045,"Clinton County, Iowa",19689,50156
19047,"Crawford County, Iowa",6435,53609
19049,"Dallas County, Iowa",32886,84790
19051,"Davis County, Iowa",3215,58464
19053,"Decatur County, Iowa",3213,42614
19055,"Delaware County, Iowa",6939,61179
19057,"Des Moines County, Iowa",16840,49977
19059,"Dickinson County, Iowa",8069,58099
19061,"Dubuque County, Iowa",38330,61321
19063,"Emmet County, Iowa",4110,48542
19065,"Fayette County, Iowa",8315,50015
19067,"Floyd County, Iowa",6759,48110
19069,"Franklin County, Iowa",4200,53742
19071,"Fremont County, Iowa",2990,54281
19073,"Greene County, Iowa",3889,54050
19075,"Grundy County, Iowa",5137,66965
19077,"Guthrie County, Iowa",4397,57075
19079,"Hamilton County, Iowa",6315,56273
19081,"Hancock County, Iowa",4766,61167
19083,"Hardin County, Iowa",7175,53872
19085,"Harrison County, Iowa",6076,60063
19087,"Henry County, Iowa",7714,52428
19089,"Howard County, Iowa",3868,52742
19091,"Humboldt County, Iowa",4221,52219
19093,"Ida County, Iowa",3010,55969
19095,"Iowa County, Iowa",6791,58570
19097,"Jackson County, Iowa",8236,54070
19099,"Jasper County, Iowa",14548,55727
19101,"Jefferson County, Iowa",6831,43378
19103,"Johnson County, Iowa",58163,61640
19105,"Jones County, Iowa",8204,56012
19107,"Keokuk County, Iowa",4384,51043
19109,"Kossuth County, Iowa",6666,54146
19111,"Lee County, Iowa",14177,48571
19113,"Linn County, Iowa",89807,64862
19115,"Louisa County, Iowa",4343,53943
19117,"Lucas County, Iowa",3642,50206
19119,"Lyon County, Iowa",4549,64352
19121,"Madison County, Iowa",6309,64512
19123,"Mahaska County, Iowa",8829,52950
19125,"Marion County, Iowa",13314,58492
19127,"Marshall County, Iowa",15338,54027
19129,"Mills County, Iowa",5587,69177
19131,"Mitchell County, Iowa",4397,55553
19133,"Monona County, Iowa",4053,45252
19135,"Monroe County, Iowa",3329,49549
19137,"Montgomery County, Iowa",4587,47648
19139,"Muscatine County, Iowa",16536,57348
19141,"O'Brien County, Iowa",6031,53045
19143,"Osceola County, Iowa",2611,58125
19145,"Page County, Iowa",6323,49974
19147,"Palo Alto County, Iowa",3812,52462
19149,"Plymouth County, Iowa",10115,64296
19151,"Pocahontas County, Iowa",3205,49877
19153,"Polk County, Iowa",183753,66044
19155,"Pottawattamie County, Iowa",36881,57467
19157,"Poweshiek County, Iowa",7681,53520
19159,"Ringgold County, Iowa",1997,52005
19161,"Sac County, Iowa",4367,54958
19163,"Scott County, Iowa",67025,58803
19165,"Shelby County, Iowa",5046,55489
19167,"Sioux County, Iowa",12166,67178
19169,"Story County, Iowa",37219,54554
19171,"Tama County, Iowa",6755,55898
19173,"Taylor County, Iowa",2650,48717
19175,"Union County, Iowa",5194,47518
19177,"Van Buren County, Iowa",2863,47083
19179,"Wapello County, Iowa",14418,45233
19181,"Warren County, Iowa",18959,74383
19183,"Washington County, Iowa",8720,61769
19185,"Wayne County, Iowa",2669,45017
19187,"Webster County, Iowa",15208,44261
19189,"Winnebago County, Iowa",4605,51002
19191,"Winneshiek County, Iowa",8205,62820
19193,"Woodbury County, Iowa",38975,55483
19195,"Worth County, Iowa",3170,54329
19197,"Wright County, Iowa",5690,50198
20001,"Allen County, Kansas",5289,42679
20003,"Anderson County, Kansas",3069,46274
20005,"Atchison County, Kansas",5980,48667
20007,"Barber County, Kansas",1960,50613
20009,"Barton County, Kansas",10892,50198
20011,"Bourbon County, Kansas",5722,40733
20013,"Brown County, Kansas",3904,48547
20015,"Butler County, Kansas",24473,63272
20017,"Chase County, Kansas",1029,46295
20019,"Chautauqua County, Kansas",1450,38690
20021,"Cherokee County, Kansas",8037,41103
20023,"Cheyenne County, Kansas",1228,46833
20025,"Clark County, Kansas",893,50368
20027,"Clay County, Kansas",3402,56186
20029,"Cloud County, Kansas",3858,44143
20031,"Coffey County, Kansas",3548,58636
20033,"Comanche County, Kansas",744,56912
20035,"Cowley County, Kansas",13566,48087
20037,"Crawford County, Kansas",15053,40174
20039,"Decatur County, Kansas",1486,44104
20041,"Dickinson County, Kansas",7801,48167
20043,"Doniphan County, Kansas",3024,49338
20045,"Douglas County, Kansas",46294,55832
20047,"Edwards County, Kansas",1302,49293
20049,"Elk County, Kansas",1117,38494
20051,"Ellis County, Kansas",11581,52700
20053,"Ellsworth County, Kansas",2462,48188
20055,"Finney County, Kansas",12509,56573
20057,"Ford County, Kansas",11274,53072
20059,"Franklin County, Kansas",9982,55486
20061,"Geary County, Kansas",12754,49185
20063,"Gove County, Kansas",1211,48894
20065,"Graham County, Kansas",1216,40769
20067,"Grant County, Kansas",2592,55455
20069,"Gray County, Kansas",2179,64426
20071,"Greeley County, Kansas",494,51250
20073,"Greenwood County, Kansas",2758,42595
20075,"Hamilton County, Kansas",852,45000
20077,"Harper County, Kansas",2274,49455
20079,"Harvey County, Kansas",13383,56051
20081,"Haskell County, Kansas",1329,53527
20083,"Hodgeman County, Kansas",761,53854
20085,"Jackson County, Kansas",5392,55904
20087,"Jefferson County, Kansas",7600,61793
20089,"Jewell County, Kansas",1380,42552
20091,"Johnson County, Kansas",226242,84915
20093,"Kearny County, Kansas",1261,51314
20095,"Kingman County, Kansas",3091,58483
20097,"Kiowa County, Kansas",981,51336
20099,"Labette County, Kansas",8033,47668
20101,"Lane County, Kansas",787,51719
20103,"Leavenworth County, Kansas",27060,71184
20105,"Lincoln County, Kansas",1264,46196
20107,"Linn County, Kansas",4348,43699
20109,"Logan County, Kansas",1137,51597
20111,"Lyon County, Kansas",13584,44191
20113,"McPherson County, Kansas",12298,57765
20115,"Marion County, Kansas",4789,51262
20117,"Marshall County, Kansas",4112,50234
20119,"Meade County, Kansas",1675,55568
20121,"Miami County, Kansas",12727,69150
20123,"Mitchell County, Kansas",2616,45221
20125,"Montgomery County, Kansas",13538,45173
20127,"Morris County, Kansas",2247,50352
20129,"Morton County, Kansas",1117,43925
20131,"Nemaha County, Kansas",4020,58644
20133,"Neosho County, Kansas",6681,44294
20135,"Ness County, Kansas",1313,51033
20137,"Norton County, Kansas",1930,49891
20139,"Osage County, Kansas",6554,55036
20141,"Osborne County, Kansas",1691,48355
20143,"Ottawa County, Kansas",2420,51971
20145,"Pawnee County, Kansas",2502,42853
20147,"Phillips County, Kansas",2363,48272
20149,"Pottawatomie County, Kansas",8695,64657
20151,"Pratt County, Kansas",3684,54029
20153,"Rawlins County, Kansas",1168,48125
20155,"Reno County, Kansas",25052,49174
20157,"Republic County, Kansas",2248,48022
20159,"Rice County, Kansas",3863,50764
20161,"Riley County, Kansas",26648,49910
20163,"Rooks County, Kansas",2100,50511
20165,"Rush County, Kansas",1403,40598
20167,"Russell County, Kansas",2979,52806
20169,"Saline County, Kansas",22210,50515
20171,"Scott County, Kansas",2025,71394
20173,"Sedgwick County, Kansas",195779,54974
20175,"Seward County, Kansas",7315,47025
20177,"Shawnee County, Kansas",72017,55199
20179,"Sheridan County, Kansas",1134,56071
20181,"Sherman County, Kansas",2649,52847
20183,"Smith County, Kansas",1681,43438
20185,"Stafford County, Kansas",1811,48563
20187,"Stanton County, Kansas",807,46726
20189,"Stevens County, Kansas",1911,56507
20191,"Sumner County, Kansas",9321,54915
20193,"Thomas County, Kansas",3301,57478
20195,"Trego County, Kansas",1380,56810
20197,"Wabaunsee County, Kansas",2749,60450
20199,"Wallace County, Kansas",633,58875
20201,"Washington County, Kansas",2344,48889
20203,"Wichita County, Kansas",903,57566
20205,"Wilson County, Kansas",3795,46208
20207,"Woodson County, Kansas",1476,34621
20209,"Wyandotte County, Kansas",59983,44873
21001,"Adair County, Kentucky",7020,39346
21003,"Allen County, Kentucky",7697,40893
21005,"Anderson County, Kentucky",8627,54160
21007,"Ballard County, Kentucky",3085,44350
21009,"Barren County, Kentucky",16965,40216
21011,"Bath County, Kentucky",4624,40837
21013,"Bell County, Kentucky",10940,24628
21015,"Boone County, Kentucky",46404,75043
21017,"Bourbon County, Kentucky",8128,51462
21019,"Boyd County, Kentucky",18798,46165
21021,"Boyle County, Kentucky",10984,43274
21023,"Bracken County, Kentucky",3377,45827
21025,"Breathitt County, Kentucky",5322,26376
21027,"Breckinridge County, Kentucky",7675,48189
21029,"Bullitt County, Kentucky",29374,60534
21031,"Butler County, Kentucky",4996,40061
21033,"Caldwell County, Kentucky",5176,44940
21035,"Calloway County, Kentucky",14641,40219
21037,"Campbell County, Kentucky",36308,59782
21039,"Carlisle County, Kentucky",2020,39664
21041,"Carroll County, Kentucky",3981,43258
21043,"Carter County, Kentucky",9972,33067
21045,"Casey County, Kentucky",6330,34457
21047,"Christian County, Kentucky",25682,41235
21049,"Clark County, Kentucky",14427,52938
21051,"Clay County, Kentucky",7625,26250
21053,"Clinton County, Kentucky",3835,31115
21055,"Crittenden County, Kentucky",3645,43169
21057,"Cumberland County, Kentucky",2769,32906
21059,"Daviess County, Kentucky",39808,49836
21061,"Edmonson County, Kentucky",4886,41360
21063,"Elliott County, Kentucky",2576,33377
21065,"Estill County, Kentucky",5503,31337
21067,"Fayette County, Kentucky",128806,54918
21069,"Fleming County, Kentucky",5888,42213
21071,"Floyd County, Kentucky",15163,31267
21073,"Franklin County, Kentucky",20875,55068
21075,"Fulton County, Kentucky",2524,28559
21077,"Gallatin County, Kentucky",3073,50204
21079,"Garrard County, Kentucky",6823,49888
21081,"Grant County, Kentucky",8849,45610
21083,"Graves County, Kentucky",14484,41615
21085,"Grayson County, Kentucky",9771,37906
21087,"Green County, Kentucky",4466,37374
21089,"Greenup County, Kentucky",14057,49343
21091,"Hancock County, Kentucky",3301,52019
21093,"Hardin County, Kentucky",41111,53168
21095,"Harlan County, Kentucky",11213,26324
21097,"Harrison County, Kentucky",7149,49696
21099,"Hart County, Kentucky",7311,37795
21101,"Henderson County, Kentucky",18480,45389
21103,"Henry County, Kentucky",5999,51447
21105,"Hickman County, Kentucky",1855,40463
21107,"Hopkins County, Kentucky",18560,45738
21109,"Jackson County, Kentucky",5455,32143
21111,"Jefferson County, Kentucky",310318,54357
21113,"Jessamine County, Kentucky",18773,56728
21115,"Johnson County, Kentucky",8737,37559
21117,"Kenton County, Kentucky",63529,61606
21119,"Knott County, Kentucky",6348,29326
21121,"Knox County, Kentucky",12270,28790
21123,"Larue County, Kentucky",5654,41779
21125,"Laurel County, Kentucky",22735,39230
21127,"Lawrence County, Kentucky",5956,31813
21129,"Lee County, Kentucky",2864,23972
21131,"Leslie County, Kentucky",4223,30798
21133,"Letcher County, Kentucky",9892,29856
21135,"Lewis County, Kentucky",5435,31096
21137,"Lincoln County, Kentucky",9706,39833
21139,"Livingston County, Kentucky",3967,46076
21141,"Logan County, Kentucky",10565,43842
21143,"Lyon County, Kentucky",3258,50097
21145,"McCracken County, Kentucky",27841,44486
21147,"McCreary County, Kentucky",6203,23273
21149,"McLean County, Kentucky",3818,50445
21151,"Madison County, Kentucky",33229,48687
21153,"Magoffin County, Kentucky",5084,29516
21155,"Marion County, Kentucky",7453,38544
21157,"Marshall County, Kentucky",13390,50731
21159,"Martin County, Kentucky",4112,35125
21161,"Mason County, Kentucky",6711,41415
21163,"Meade County, Kentucky",10638,57963
21165,"Menifee County, Kentucky",2593,39905
21167,"Mercer County, Kentucky",8571,50475
21169,"Metcalfe County, Kentucky",3998,35809
21171,"Monroe County, Kentucky",4414,34167
21173,"Montgomery County, Kentucky",10472,41974
21175,"Morgan County, Kentucky",4958,34419
21177,"Muhlenberg County, Kentucky",11317,43110
21179,"Nelson County, Kentucky",17491,57469
21181,"Nicholas County, Kentucky",2694,41354
21183,"Ohio County, Kentucky",9076,42826
21185,"Oldham County, Kentucky",20733,97597
21187,"Owen County, Kentucky",3921,45338
21189,"Owsley County, Kentucky",1664,25530
21191,"Pendleton County, Kentucky",5260,52620
21193,"Perry County, Kentucky",11172,31046
21195,"Pike County, Kentucky",25768,34081
21197,"Powell County, Kentucky",4831,36958
21199,"Pulaski County, Kentucky",25663,37921
21201,"Robertson County, Kentucky",902,38864
21203,"Rockcastle County, Kentucky",6525,36468
21205,"Rowan County, Kentucky",8505,37639
21207,"Russell County, Kentucky",7027,36159
21209,"Scott County, Kentucky",20206,66966
21211,"Shelby County, Kentucky",16569,64240
21213,"Simpson County, Kentucky",6914,48311
21215,"Spencer County, Kentucky",6709,77738
21217,"Taylor County, Kentucky",9596,39055
21219,"Todd County, Kentucky",4663,41865
21221,"Trigg County, Kentucky",5970,52279
21223,"Trimble County, Kentucky",3604,47470
21225,"Union County, Kentucky",5465,42844
21227,"Warren County, Kentucky",47142,52007
21229,"Washington County, Kentucky",4667,50794
21231,"Wayne County, Kentucky",8019,34039
21233,"Webster County, Kentucky",4975,40947
21235,"Whitley County, Kentucky",12490,36897
21237,"Wolfe County, Kentucky",2817,22458
21239,"Woodford County, Kentucky",10198,62629
22001,"Acadia Parish, Louisiana",22564,41177
22003,"Allen Parish, Louisiana",7920,41009
22005,"Ascension Parish, Louisiana",42649,76589
22007,"Assumption Parish, Louisiana",8802,44744
22009,"Avoyelles Parish, Louisiana",15085,38077
22011,"Beauregard Parish, Louisiana",13219,50738
22013,"Bienville Parish, Louisiana",5892,30300
22015,"Bossier Parish, Louisiana",48947,53806
22017,"Caddo Parish, Louisiana",96360,40866
22019,"Calcasieu Parish, Louisiana",77295,49452
22021,"Caldwell Parish, Louisiana",3667,32174
22023,"Cameron Parish, Louisiana",2718,55000
22025,"Catahoula Parish, Louisiana",3595,38854
22027,"Claiborne Parish, Louisiana",5891,27303
22029,"Concordia Parish, Louisiana",7371,31813
22031,"De Soto Parish, Louisiana",10523,44230
22033,"East Baton Rouge Parish, Louisiana",165939,52719
22035,"East Carroll Parish, Louisiana",2153,21161
22037,"East Feliciana Parish, Louisiana",6759,48129
22039,"Evangeline Parish, Louisiana",12051,32180
22041,"Franklin Parish, Louisiana",7629,35466
22043,"Grant Parish, Louisiana",6989,40792
22045,"Iberia Parish, Louisiana",26063,45274
22047,"Iberville Parish, Louisiana",10918,47797
22049,"Jackson Parish, Louisiana",5976,38523
22051,"Jefferson Parish, Louisiana",168895,52558
22053,"Jefferson Davis Parish, Louisiana",11501,39653
22055,"Lafayette Parish, Louisiana",90606,54726
22057,"Lafourche Parish, Louisiana",36449,53089
22059,"LaSalle Parish, Louisiana",5018,36868
22061,"Lincoln Parish, Louisiana",17551,34154
22063,"Livingston Parish, Louisiana",48859,63159
22065,"Madison Parish, Louisiana",3943,27810
22067,"Morehouse Parish, Louisiana",9758,33333
22069,"Natchitoches Parish, Louisiana",14630,27795
22071,"Orleans Parish, Louisiana",154036,39576
22073,"Ouachita Parish, Louisiana",56686,41314
22075,"Plaquemines Parish, Louisiana",8817,52386
22077,"Pointe Coupee Parish, Louisiana",8961,44269
22079,"Rapides Parish, Louisiana",48000,44852
22081,"Red River Parish, Louisiana",3334,33446
22083,"Richland Parish, Louisiana",7391,34422
22085,"Sabine Parish, Louisiana",9185,39465
22087,"St. Bernard Parish, Louisiana",15029,46011
22089,"St. Charles Parish, Louisiana",18762,66620
22091,"St. Helena Parish, Louisiana",3871,39895
22093,"St. James Parish, Louisiana",7906,50661
22095,"St. John the Baptist Parish, Louisiana",15418,54821
22097,"St. Landry Parish, Louisiana",30094,33288
22099,"St. Martin Parish, Louisiana",19556,47974
22101,"St. Mary Parish, Louisiana",19740,40485
22103,"St. Tammany Parish, Louisiana",91975,67706
22105,"Tangipahoa Parish, Louisiana",47527,46297
22107,"Tensas Parish, Louisiana",1825,23870
22109,"Terrebonne Parish, Louisiana",40014,48866
22111,"Union Parish, Louisiana",7724,43083
22113,"Vermilion Parish, Louisiana",21632,50690
22115,"Vernon Parish, Louisiana",17801,47772
22117,"Washington Parish, Louisiana",17337,34985
22119,"Webster Parish, Louisiana",16230,30358
22121,"West Baton Rouge Parish, Louisiana",9599,60908
22123,"West Carroll Parish, Louisiana",4041,36528
22125,"West Feliciana Parish, Louisiana",3908,55510
22127,"Winn Parish, Louisiana",5437,35398
23001,"Androscoggin County, Maine",45491,51412
23003,"Aroostook County, Maine",29645,39824
23005,"Cumberland County, Maine",119717,69708
23007,"Franklin County, Maine",11817,48053
23009,"Hancock County, Maine",23579,53068
23011,"Kennebec County, Maine",51542,52929
23013,"Knox County, Maine",17156,55402
23015,"Lincoln County, Maine",15372,55180
23017,"Oxford County, Maine",20814,47275
23019,"Penobscot County, Maine",61578,49374
23021,"Piscataquis County, Maine",7357,39470
23023,"Sagadahoc County, Maine",15833,62131
23025,"Somerset County, Maine",21533,42491
23027,"Waldo County, Maine",17067,51564
23029,"Washington County, Maine",13806,41384
23031,"York County, Maine",84648,65538
24001,"Allegany County, Maryland",27837,44065
24003,"Anne Arundel County, Maryland",207599,97810
24005,"Baltimore County, Maryland",312913,74127
24009,"Calvert County, Maryland",31726,104301
24011,"Caroline County, Maryland",12081,54956
24013,"Carroll County, Maryland",60450,93363
24015,"Cecil County, Maryland",36930,72845
24017,"Charles County, Maryland",55903,95924
24019,"Dorchester County, Maryland",13264,52145
24021,"Frederick County, Maryland",91405,91999
24023,"Garrett County, Maryland",12073,49619
24025,"Harford County, Maryland",93286,85942
24027,"Howard County, Maryland",112966,117730
24029,"Kent County, Maryland",7910,56009
24031,"Montgomery County, Maryland",370227,106287
24033,"Prince George's County, Maryland",308849,81969
24035,"Queen Anne's County, Maryland",18148,92167
24037,"St. Mary's County, Maryland",40332,90438
24039,"Somerset County, Maryland",8383,42165
24041,"Talbot County, Maryland",16627,67204
24043,"Washington County, Maryland",55864,59719
24045,"Wicomico County, Maryland",37637,56608
24047,"Worcester County, Maryland",21672,61145
24510,"Baltimore city, Maryland",238436,48840
25001,"Barnstable County, Massachusetts",94292,70621
25003,"Berkshire County, Massachusetts",55167,56674
25005,"Bristol County, Massachusetts",216618,66157
25007,"Dukes County, Massachusetts",6367,71224
25009,"Essex County, Massachusetts",292659,75878
25011,"Franklin County, Massachusetts",30328,59522
25013,"Hampden County, Massachusetts",179043,53403
25015,"Hampshire County, Massachusetts",58665,67044
25017,"Middlesex County, Massachusetts",600032,97012
25019,"Nantucket County, Massachusetts",3722,105171
25021,"Norfolk County, Massachusetts",263551,99511
25023,"Plymouth County, Massachusetts",186306,85654
25025,"Suffolk County, Massachusetts",307870,64582
25027,"Worcester County, Massachusetts",307294,71895
26001,"Alcona County, Michigan",5008,39735
26003,"Alger County, Michigan",3094,46007
26005,"Allegan County, Michigan",43000,59883
26007,"Alpena County, Michigan",12717,41991
26009,"Antrim County, Michigan",9805,52589
26011,"Arenac County, Michigan",6684,40769
26013,"Baraga County, Michigan",3036,42444
26015,"Barry County, Michigan",23840,61016
26017,"Bay County, Michigan",43891,48005
26019,"Benzie County, Michigan",6733,56639
26021,"Berrien County, Michigan",63908,49135
26023,"Branch County, Michigan",16506,50536
26025,"Calhoun County, Michigan",53659,47426
26027,"Cass County, Michigan",20855,53571
26029,"Charlevoix County, Michigan",11379,53207
26031,"Cheboygan County, Michigan",11201,46161
26033,"Chippewa County, Michigan",14046,44483
26035,"Clare County, Michigan",12406,37369
26037,"Clinton County, Michigan",29421,67482
26039,"Crawford County, Michigan",6047,47443
26041,"Delta County, Michigan",15949,46490
26043,"Dickinson County, Michigan",11087,48966
26045,"Eaton County, Michigan",44390,62474
26047,"Emmet County, Michigan",14510,54055
26049,"Genesee County, Michigan",167889,47006
26051,"Gladwin County, Michigan",10999,43290
26053,"Gogebic County, Michigan",6619,38798
26055,"Grand Traverse County, Michigan",37134,61485
26057,"Gratiot County, Michigan",15177,44991
26059,"Hillsdale County, Michigan",17904,48392
26061,"Houghton County, Michigan",13340,42852
26063,"Huron County, Michigan",13918,46320
26065,"Ingham County, Michigan",112200,50940
26067,"Ionia County, Michigan",22858,54343
26069,"Iosco County, Michigan",11631,42102
26071,"Iron County, Michigan",5327,38918
26073,"Isabella County, Michigan",24889,44408
26075,"Jackson County, Michigan",61696,51431
26077,"Kalamazoo County, Michigan",102809,54431
26079,"Kalkaska County, Michigan",7139,46004
26081,"Kent County, Michigan",239236,60351
26083,"Keweenaw County, Michigan",1081,49779
26085,"Lake County, Michigan",4517,34631
26087,"Lapeer County, Michigan",33320,58952
26089,"Leelanau County, Michigan",9152,63831
26091,"Lenawee County, Michigan",38222,53972
26093,"Livingston County, Michigan",71180,80897
26095,"Luce County, Michigan",2190,42255
26097,"Mackinac County, Michigan",5284,46507
26099,"Macomb County, Michigan",343592,60466
26101,"Manistee County, Michigan",9591,47172
26103,"Marquette County, Michigan",26203,50771
26105,"Mason County, Michigan",12115,49663
26107,"Mecosta County, Michigan",15858,44460
26109,"Menominee County, Michigan",10665,45508
26111,"Midland County, Michigan",34017,59271
26113,"Missaukee County, Michigan",6027,44766
26115,"Monroe County, Michigan",59279,61514
26117,"Montcalm County, Michigan",23761,47000
26119,"Montmorency County, Michigan",4195,42305
26121,"Muskegon County, Michigan",65619,48329
26123,"Newaygo County, Michigan",19007,46724
26125,"Oakland County, Michigan",501260,76387
26127,"Oceana County, Michigan",10157,46217
26129,"Ogemaw County, Michigan",9296,40150
26131,"Ontonagon County, Michigan",2876,38906
26133,"Osceola County, Michigan",9100,42689
26135,"Oscoda County, Michigan",3824,40255
26137,"Otsego County, Michigan",9886,52645
26139,"Ottawa County, Michigan",101223,67468
26141,"Presque Isle County, Michigan",5808,46439
26143,"Roscommon County, Michigan",10899,40302
26145,"Saginaw County, Michigan",78648,46919
26147,"St. Clair County, Michigan",64805,55240
