FIPSCode,jurisdiction,households,median_household_income
5063,"Independence County, Arkansas",14268,43523
5065,"Izard County, Arkansas",5049,40218
5067,"Jackson County, Arkansas",6095,33174
5069,"Jefferson County, Arkansas",26977,38289
5071,"Johnson County, Arkansas",9800,37170
5073,"Lafayette County, Arkansas",2859,32412
5075,"Lawrence County, Arkansas",6531,38528
5077,"Lee County, Arkansas",3352,28367
5079,"Lincoln County, Arkansas",3795,45166
5081,"Little River County, Arkansas",5440,45388
5083,"Logan County, Arkansas",8464,39748
5085,"Lonoke County, Arkansas",26868,57509
5087,"Madison County, Arkansas",6195,43891
5089,"Marion County, Arkansas",6669,35518
5091,"Miller County, Arkansas",16748,41903
5093,"Mississippi County, Arkansas",16888,37237
5095,"Monroe County, Arkansas",3326,35190
5097,"Montgomery County, Arkansas",3761,37855
5099,"Nevada County, Arkansas",3303,37635
5101,"Newton County, Arkansas",2899,39896
5103,"Ouachita County, Arkansas",10055,34887
5105,"Perry County, Arkansas",3708,46071
5107,"Phillips County, Arkansas",7498,29263
5109,"Pike County, Arkansas",4299,37406
5111,"Poinsett County, Arkansas",9437,39277
5113,"Polk County, Arkansas",8204,37035
5115,"Pope County, Arkansas",22628,41914
5117,"Prairie County, Arkansas",3826,41846
5119,"Pulaski County, Arkansas",157083,50093
5121,"Randolph County, Arkansas",7455,36870
5123,"St. Francis County, Arkansas",9319,35356
5125,"Saline County, Arkansas",43604,62152
5127,"Scott County, Arkansas",3855,35509
5129,"Searcy County, Arkansas",3271,36390
5131,"Sebastian County, Arkansas",50670,43240
5133,"Sevier County, Arkansas",5854,46667
5135,"Sharp County, Arkansas",7354,33708
5137,"Stone County, Arkansas",4954,36162
5139,"Union County, Arkansas",15904,44000
5141,"Van Buren County, Arkansas",6852,36897
5143,"Washington County, Arkansas",85891,49629
5145,"White County, Arkansas",29263,43822
5147,"Woodruff County, Arkansas",2890,31023
5149,"Yell County, Arkansas",7491,42361
6001,"Alameda County, California",572870,92574
6003,"Alpine County, California",299,64688
6005,"Amador County, California",14090,61198
6007,"Butte County, California",86797,48443
6009,"Calaveras County, California",17417,58151
6011,"Colusa County, California",7113,56704
6013,"Contra Costa County, California",392277,93712
6015,"Del Norte County, California",9799,45258
6017,"El Dorado County, California",69172,80582
6019,"Fresno County, California",304624,51261
6021,"Glenn County, California",10017,47395
6023,"Humboldt County, California",54267,45528
6025,"Imperial County, California",44057,45834
6027,"Inyo County, California",8083,52874
6029,"Kern County, California",267913,52479
6031,"Kings County, California",42735,53865
6033,"Lake County, California",25966,42475
6035,"Lassen County, California",9493,56362
6037,"Los Angeles County, California",3306109,64251
6039,"Madera County, California",44759,52884
6041,"Marin County, California",105258,110217
6043,"Mariposa County, California",7700,51199
6045,"Mendocino County, California",34090,49233
6047,"Merced County, California",79606,50129
6049,"Modoc County, California",3660,45149
6051,"Mono County, California",4847,63018
6053,"Monterey County, California",126052,66676
6055,"Napa County, California",49032,84753
6057,"Nevada County, California",40904,63240
6059,"Orange County, California",1032373,85398
6061,"Placer County, California",140661,84357
6063,"Plumas County, California",8047,53270
6065,"Riverside County, California",718349,63948
6067,"Sacramento County, California",536029,63902
6069,"San Benito County, California",17740,81977
6071,"San Bernardino County, California",630633,60164
6073,"San Diego County, California",1118980,74855
6075,"San Francisco County, California",359673,104552
6077,"San Joaquin County, California",226727,61145
6079,"San Luis Obispo County, California",105317,70699
6081,"San Mateo County, California",261969,113776
6083,"Santa Barbara County, California",144962,71657
6085,"Santa Clara County, California",635525,116178
6087,"Santa Cruz County, California",95756,78041
6089,"Shasta County, California",70473,50905
6091,"Sierra County, California",1241,48125
6093,"Siskiyou County, California",19257,44200
6095,"Solano County, California",149067,77609
6097,"Sonoma County, California",189339,76753
6099,"Stanislaus County, California",172682,57387
6101,"Sutter County, California",32360,56955
6103,"Tehama County, California",24025,42899
6105,"Trinity County, California",5796,38497
6107,"Tulare County, California",136106,47518
6109,"Tuolumne County, California",22427,56493
6111,"Ventura County, California",271226,84017
6113,"Yolo County, California",73510,65923
6115,"Yuba County, California",26179,52624
8001,"Adams County, Colorado",164353,67575
8003,"Alamosa County, Colorado",6153,39191
8005,"Arapahoe County, Colorado",237559,73925
8007,"Archuleta County, Colorado",5670,50753
8009,"Baca County, Colorado",1642,37500
8011,"Bent County, Colorado",1744,34392
8013,"Boulder County, Colorado",125894,78642
8014,"Broomfield County, Colorado",26721,89624
8015,"Chaffee County, Colorado",7958,54580
8017,"Cheyenne County, Colorado",742,55227
8019,"Clear Creek County, Colorado",4640,69936
8021,"Conejos County, Colorado",3068,34746
8023,"Costilla County, Colorado",1687,30593
8025,"Crowley County, Colorado",1194,37586
8027,"Custer County, Colorado",2083,44644
8029,"Delta County, Colorado",11882,44512
8031,"Denver County, Colorado",294358,63793
8033,"Dolores County, Colorado",740,41714
8035,"Douglas County, Colorado",117426,115314
8037,"Eagle County, Colorado",17750,84685
8039,"Elbert County, Colorado",9046,96658
8041,"El Paso County, Colorado",253379,65334
