FIPSCode,total_2016,gop_2016,dem_2016,oth_2016,WINNER
24003,242939,114509,116074,12356,Dem
24005,335017,131009,189437,14571,Dem
24009,43445,24680,16669,2096,Rep
24011,13282,8999,3747,536,Rep
24013,84879,55593,24314,4972,Rep
24015,42309,27579,12651,2079,Rep
24017,72480,24163,46063,2254,Dem
24019,14034,7938,5695,401,Rep
24021,114962,56472,51891,6599,Rep
24023,12905,10189,2252,464,Rep
24025,124224,74261,43803,6160,Rep
24027,146401,44792,93808,7801,Dem
24029,9166,4598,4178,390,Rep
24031,NA,NA,NA,NA,NA
24033,351091,29290,313627,8174,Dem
24035,24633,16211,7316,1106,Rep
24037,45169,26889,15786,2494,Rep
24039,8768,5056,3484,228,Rep
24041,18731,10098,7865,768,Rep
24043,60731,38842,19193,2696,Rep
24045,38722,20832,16327,1563,Rep
24047,25571,15910,8783,878,Rep
24510,208980,22726,178562,7692,Dem
25001,132667,53842,71632,7193,Dem
25003,64507,16799,43540,4168,Dem
25005,246068,104775,127619,13674,Dem
25007,11434,2474,8338,622,Dem
25009,376140,135405,220027,20708,Dem
25011,37987,10327,24369,3291,Dem
25013,200220,78230,110313,11677,Dem
25015,82329,22089,54572,5668,Dem
25017,767337,216163,508919,42255,Dem
25019,6404,1892,4144,368,Dem
25021,357781,119171,219129,19481,Dem
25023,264168,114722,133828,15618,Dem
25025,303517,50042,241212,12263,Dem
25027,380972,157138,197126,26708,Dem
26001,6179,4201,1732,246,Rep
26003,4513,2585,1663,265,Rep
26005,55153,33812,17932,3409,Rep
26007,14688,9090,4877,721,Rep
26009,13572,8469,4448,655,Rep
26011,7457,4704,2238,515,Rep
26013,3486,2158,1156,172,Rep
26015,30265,19197,9109,1959,Rep
26017,52932,28327,21641,2964,Rep
26019,10221,5539,4108,574,Rep
26021,71882,38646,29496,3740,Rep
26023,16490,11025,4740,725,Rep
26025,58786,31489,24154,3143,Rep
26027,23272,14241,7270,1761,Rep
26029,14567,8674,5137,756,Rep
26031,13647,8680,4302,665,Rep
26033,15434,9120,5378,936,Rep
26035,13385,8507,4250,628,Rep
26037,40564,21635,16490,2439,Rep
26039,6833,4354,2110,369,Rep
26041,18467,11112,6431,924,Rep
26043,13140,8580,3923,637,Rep
26045,55686,27608,24534,3544,Rep
26047,18774,10616,6972,1186,Rep
26049,196135,84174,102744,9217,Dem
26051,12472,8124,3794,554,Rep
26053,7313,4019,2925,369,Rep
26055,51460,27412,20964,3084,Rep
26057,16442,9878,5665,899,Rep
26059,19880,14094,4799,987,Rep
26061,15623,8475,6018,1130,Rep
26063,15848,10629,4579,640,Rep
26065,133478,44354,81266,7858,Dem
26067,26364,16374,8206,1784,Rep
26069,13349,8344,4344,661,Rep
26071,5910,3675,2004,231,Rep
26073,25344,12338,11404,1602,Rep
26075,69567,39793,25795,3979,Rep
26077,125966,51031,67142,7793,Dem
26079,8920,6213,2279,428,Rep
26081,306270,147959,138567,19744,Rep
26083,1429,814,527,88,Rep
26085,5328,3159,1939,230,Rep
26087,45126,30037,12734,2355,Rep
26089,14757,7239,6774,744,Rep
26091,45895,26428,16750,2717,Rep
26093,105577,65665,34378,5534,Rep
26095,2576,1756,681,139,Rep
26097,6088,3740,2085,263,Rep
26099,418773,224589,176238,17946,Rep
26101,12598,6915,4979,704,Rep
26103,32897,14646,16042,2209,Dem
26105,14658,8505,5281,872,Rep
26107,17149,10305,5827,1017,Rep
26109,10765,6704,3539,522,Rep
26111,42379,23877,15655,2847,Rep
26113,7301,5386,1565,350,Rep
26115,74101,43255,26859,3987,Rep
26117,26556,16907,7874,1775,Rep
26119,5008,3498,1286,224,Rep
26121,77114,35962,36640,4512,Dem
26123,22605,15174,6212,1219,Rep
26125,663255,289127,342976,31152,Dem
26127,11903,7228,3973,702,Rep
26129,10386,6827,3030,529,Rep
26131,3420,2069,1175,176,Rep
26133,10597,7336,2705,556,Rep
26135,4062,2843,1044,175,Rep
26137,12529,8266,3556,707,Rep
26139,145405,90456,46276,8673,Rep
26141,7215,4486,2400,329,Rep
26143,13036,8141,4287,608,Rep
26145,94198,45469,44395,4334,Rep
26147,77994,49067,24553,4374,Rep
26149,23765,14886,7529,1350,Rep
26151,19243,13446,4873,924,Rep
26153,4151,2556,1369,226,Rep
26155,34044,19232,12547,2265,Rep
26157,26157,17421,7493,1243,Rep
26159,33213,17890,13258,2065,Rep
26161,187201,50335,128025,8841,Dem
26163,773983,228313,517022,28648,Dem
26165,15279,10000,4436,843,Rep
27001,9185,5516,3134,535,Rep
27003,184084,93341,75499,15244,Rep
27005,17090,10880,5208,1002,Rep
27007,21316,10783,8688,1845,Rep
27009,19911,12872,5640,1399,Rep
27011,2729,1607,921,201,Rep
27013,33256,15667,14428,3161,Rep
27015,13663,8708,3763,1192,Rep
27017,18059,8160,8460,1439,Dem
27019,55102,29057,21508,4537,Rep
27021,15885,9982,4949,954,Rep
27023,6182,3764,1978,440,Rep
27025,30009,18441,9279,2289,Rep
27027,29108,13549,12974,2585,Rep
27029,4225,2925,1100,200,Rep
27031,3360,1156,1912,292,Dem
27033,5697,3679,1678,340,Rep
27035,35568,22287,10982,2299,Rep
27037,228659,99624,110251,18784,Dem
27039,10564,6527,3102,935,Rep
27041,21623,13966,6227,1430,Rep
27043,7355,4659,2153,543,Rep
27045,10976,6271,3872,833,Rep
27047,15929,8808,6041,1080,Rep
27049,25538,14041,9446,2051,Rep
27051,3453,2063,1104,286,Rep
27053,672644,191768,429283,51593,Dem
27055,10515,5616,4145,754,Rep
27057,11423,7269,3432,722,Rep
27059,20875,13635,5656,1584,Rep
27061,23650,12920,9015,1715,Rep
27063,5453,3609,1492,352,Rep
27065,8125,5230,2327,568,Rep
27067,21648,12785,7266,1597,Rep
27069,2363,1349,823,191,Rep
27071,6313,3569,2306,438,Rep
27073,3835,2294,1301,240,Rep
27075,6472,2932,3077,463,Dem
27077,2230,1540,553,137,Rep
27079,14867,9182,4623,1062,Rep
27081,3002,1930,860,212,Rep
27083,12129,7256,3825,1048,Rep
27085,18684,12155,4978,1551,Rep
27087,2074,991,930,153,Rep
27089,4794,3208,1225,361,Rep
27091,10469,7062,2733,674,Rep
27093,12198,8103,3192,903,Rep
27095,12948,8340,3709,899,Rep
27097,17534,12925,3637,972,Rep
27099,17587,8826,7444,1317,Rep
27101,4642,2974,1295,373,Rep
27103,17914,8436,7886,1592,Rep
27105,8592,5299,2733,560,Rep
27107,3232,1699,1264,269,Rep
27109,79277,35668,36266,7343,Dem
27111,32284,20939,9339,2006,Rep
27113,6671,4000,2146,525,Rep
27115,13729,8191,4580,958,Rep
27117,4779,3338,1127,314,Rep
27119,14698,8979,4712,1007,Rep
27121,6294,3793,2106,395,Rep
27123,269161,70778,176929,21454,Dem
27125,1871,1141,540,190,Rep
27127,7566,5137,1887,542,Rep
27129,7563,4890,2117,556,Rep
27131,32217,15429,14437,2351,Rep
27133,4807,3091,1373,343,Rep
27135,7767,5451,1856,460,Rep
27137,111260,44631,57769,8860,Dem
27139,74390,39948,28502,5940,Rep
27141,47938,31049,13299,3590,Rep
27143,7727,5193,1954,580,Rep
27145,78985,47618,25575,5792,Rep
27147,19040,11198,6239,1603,Rep
27149,5350,2800,2116,434,Rep
27151,4968,2962,1679,327,Rep
27153,11944,8485,2783,676,Rep
27155,1791,1050,631,110,Rep
27157,11764,6989,3866,909,Rep
27159,6894,4837,1684,373,Rep
27161,9579,5967,2838,774,Rep
27163,142843,64429,67086,11328,Dem
27165,4971,2768,1814,389,Rep
27167,3279,2129,893,257,Rep
27169,25852,12122,11366,2364,Rep
27171,69154,43274,20336,5544,Rep
27173,5253,3382,1524,347,Rep
28001,12214,5125,6921,168,Dem
28003,14781,11817,2684,280,Rep
28005,7033,4282,2688,63,Rep
28007,7242,4288,2847,107,Rep
28009,3996,2240,1713,43,Rep
28011,12831,4251,8410,170,Dem
28013,6339,4360,1884,95,Rep
28015,5470,3774,1648,48,Rep
28017,7890,4127,3649,114,Rep
28019,4020,2763,1198,59,Rep
28021,2954,414,2523,17,Dem
28023,7713,5088,2556,69,Rep
28025,9960,4136,5695,129,Dem
28027,8912,2426,6378,108,Dem
28029,11906,5576,6203,127,Dem
28031,8790,5423,3267,100,Rep
28033,64022,42155,19892,1975,Rep
28035,27284,15149,11271,864,Rep
28037,4219,2685,1471,63,Rep
28039,9831,8652,1013,166,Rep
28041,5325,4309,956,60,Rep
28043,10442,5940,4386,116,Rep
28045,17517,13720,3320,477,Rep
28047,62076,39710,20679,1687,Rep
28049,91536,24919,64922,1695,Dem
28051,7045,1151,5820,74,Dem
28053,3599,924,2652,23,Dem
28055,699,298,395,6,Dem
28057,9634,8385,1100,149,Rep
28059,45465,31204,13087,1174,Rep
28061,8468,4032,4367,69,Dem
28063,3859,489,3337,33,Dem
28065,6237,2466,3720,51,Dem
28067,28250,20076,7748,426,Rep
28069,4639,1778,2827,34,Dem
28071,19642,10872,7968,802,Rep
28073,24179,18493,5044,642,Rep
28075,28967,17574,10910,483,Rep
28077,6329,4072,2181,76,Rep
28079,8436,4775,3579,82,Rep
28081,31974,21695,9635,644,Rep
28083,9566,2757,6677,132,Dem
28085,15193,10550,4458,185,Rep
28087,25139,13124,11545,470,Rep
28089,45048,25607,18358,1083,Rep
28091,11443,7697,3572,174,Rep
28093,14698,6525,7944,229,Dem
28095,15781,10107,5485,189,Rep
28097,4162,2334,1775,53,Rep
28099,10438,7613,2668,157,Rep
28101,8594,5929,2549,116,Rep
28103,5538,1181,4330,27,Dem
28105,16151,7671,7851,629,Dem
28107,14854,7371,7300,183,Rep
28109,18893,15530,2919,444,Rep
28111,5432,4135,1220,77,Rep
28113,15633,7748,7636,249,Rep
28115,11811,9442,2123,246,Rep
28117,9871,7647,2067,157,Rep
28119,3353,998,2303,52,Dem
28121,61356,46168,13741,1447,Rep
28123,9867,5742,3999,126,Rep
28125,1926,619,1290,17,Dem
28127,11416,7393,3871,152,Rep
28129,7556,5877,1598,81,Rep
28131,6368,4810,1400,158,Rep
28133,9406,2768,6560,78,Dem
28135,5870,2462,3337,71,Dem
28137,11389,7385,3804,200,Rep
28139,9143,7182,1808,153,Rep
28141,8310,7117,990,203,Rep
28143,3463,840,2577,46,Dem
28145,11374,9161,1969,244,Rep
28147,5909,3374,2475,60,Rep
28149,18287,9420,8518,349,Rep
28151,14571,4541,9847,183,Dem
28153,9534,5957,3493,84,Rep
28155,5024,3949,1001,74,Rep
28157,4174,1305,2826,43,Dem
28159,8771,4874,3778,119,Rep
28161,6058,3366,2574,118,Rep
28163,9892,4568,5221,103,Dem
29001,10137,6019,3495,623,Rep
29003,9140,6665,2045,430,Rep
29005,2723,2059,541,123,Rep
29007,10043,6981,2567,495,Rep
29009,14604,11427,2710,467,Rep
29011,5932,4958,795,179,Rep
29013,8021,6000,1617,404,Rep
29015,9584,7212,2024,348,Rep
29017,5669,4827,705,137,Rep
29019,83312,36146,41072,6094,Dem
29021,35563,21315,12010,2238,Rep
29023,17232,13647,3036,549,Rep
29025,4309,3231,837,241,Rep
29027,19127,13052,4988,1087,Rep
29029,22182,16721,4706,755,Rep
29031,36875,26939,8468,1468,Rep
29033,4361,3480,745,136,Rep
29035,2842,2323,436,83,Rep
29037,50715,33006,14816,2893,Rep
29039,6278,5019,1010,249,Rep
29041,3962,2948,888,126,Rep
29043,41394,30941,8505,1948,Rep
29045,3316,2458,724,134,Rep
29047,109237,57328,45182,6727,Rep
29049,10197,7058,2572,567,Rep
29051,37261,24610,10907,1744,Rep
29053,7976,5623,1932,421,Rep
29055,9920,7724,1824,372,Rep
29057,3951,3184,637,130,Rep
29059,7440,5895,1271,274,Rep
29061,3689,2763,730,196,Rep
29063,4590,3540,824,226,Rep
29065,6778,5599,978,201,Rep
29067,6664,5486,984,194,Rep
29069,10574,8026,2360,188,Rep
29071,50045,35420,12339,2286,Rep
29073,7444,5670,1519,255,Rep
29075,3033,2304,605,124,Rep
29077,127609,77387,42400,7822,Rep
29079,4413,3462,780,171,Rep
29081,3682,2965,574,143,Rep
29083,9855,7072,2356,427,Rep
29085,4717,3539,1016,162,Rep
29087,2348,1926,346,76,Rep
29089,4851,3277,1279,295,Rep
29091,17415,13888,2880,647,Rep
29093,4260,3173,933,154,Rep
29095,294063,114777,163723,15563,Dem
29097,48179,35058,10565,2556,Rep
29099,105969,68973,31546,5450,Rep
29101,21087,13702,5924,1461,Rep
29103,1867,1413,379,75,Rep
29105,15959,12834,2543,582,Rep
29107,15815,10977,4047,791,Rep
29109,16674,13084,2898,692,Rep
29111,4452,3343,933,176,Rep
29113,24857,18111,5561,1185,Rep
29115,5572,4084,1239,249,Rep
29117,6408,4879,1265,264,Rep
29119,8233,6599,1329,305,Rep
29121,7579,5794,1518,267,Rep
29123,5318,4102,1005,211,Rep
29125,4498,3559,794,145,Rep
29127,12902,9418,2993,491,Rep
29129,1739,1486,216,37,Rep
29131,11414,9285,1750,379,Rep
29133,5165,3600,1458,107,Rep
29135,6808,5344,1237,227,Rep
29137,4147,3159,853,135,Rep
29139,5424,4124,1118,182,Rep
29141,8815,6757,1768,290,Rep
29143,7352,5270,1933,149,Rep
29145,26506,20546,4988,972,Rep
29147,9439,6379,2529,531,Rep
29149,4664,3668,865,131,Rep
29151,7078,5845,998,235,Rep
29153,4501,3639,724,138,Rep
29155,6025,3964,1946,115,Rep
29157,8732,6907,1520,305,Rep
29159,18045,12792,4322,931,Rep
29161,18499,12699,4761,1039,Rep
29163,7375,5274,1806,295,Rep
29165,46641,24975,18915,2751,Rep
29167,13709,10435,2630,644,Rep
29169,13443,9870,2918,655,Rep
29171,2342,1936,352,54,Rep
29173,5266,3969,1138,159,Rep
29175,10309,7529,2283,497,Rep
29177,10835,7103,3088,644,Rep
29179,3032,2402,540,90,Rep
29181,5518,4520,830,168,Rep
29183,199513,120899,68225,10389,Rep
29185,4630,3501,936,193,Rep
29186,8459,5495,2540,424,Rep
29187,24714,17467,6250,997,Rep
29189,503493,199081,280866,23546,Dem
29195,9245,5977,2787,481,Rep
29197,1933,1505,354,74,Rep
29199,1968,1525,365,78,Rep
29201,17244,13168,3574,502,Rep
29203,3904,2966,776,162,Rep
29205,3252,2524,606,122,Rep
29207,13278,11077,1873,328,Rep
29209,16538,13149,2886,503,Rep
29211,2484,1884,526,74,Rep
29213,23399,18240,4367,792,Rep
29215,10935,8875,1728,332,Rep
29217,8576,6526,1706,344,Rep
29219,15766,11109,3915,742,Rep
29221,9279,7047,1926,306,Rep
29223,5738,4640,946,152,Rep
29225,16690,12829,3173,688,Rep
29227,1046,808,195,43,Rep
29229,8086,6703,1166,217,Rep
29510,127403,20281,101487,5635,Dem
30001,4676,3243,1115,318,Rep
30003,4148,1833,2061,254,Dem
30005,2621,1259,1187,175,Rep
30007,3097,2329,566,202,Rep
30009,5923,3729,1824,370,Rep
30011,777,677,70,30,Rep
30013,33791,19343,12053,2395,Rep
30015,2571,1676,729,166,Rep
30017,5145,3638,1172,335,Rep
30019,952,729,167,56,Rep
30021,4297,3298,786,213,Rep
30023,4099,1736,2018,345,Dem
30025,1474,1276,154,44,Rep
30027,5782,4235,1196,351,Rep
30029,46144,30079,13233,2832,Rep
30031,52169,23360,23879,4930,Dem
30033,715,653,34,28,Rep
30035,4969,1598,3076,295,Dem
30037,468,365,71,32,Rep
30039,1762,1185,469,108,Rep
30041,6347,3446,2350,551,Rep
30043,6535,4099,1975,461,Rep
30045,1189,867,232,90,Rep
30047,12898,7453,4703,742,Rep
30049,33697,16665,14331,2701,Rep
30051,949,695,205,49,Rep
30053,9250,6720,2040,490,Rep
30055,1056,858,154,44,Rep
30057,4708,3280,1175,253,Rep
30059,970,728,191,51,Rep
30061,1974,1322,515,137,Rep
30063,57271,21699,30740,4832,Dem
30065,2404,1961,331,112,Rep
30067,9056,4872,3521,663,Rep
30069,319,276,30,13,Rep
30071,2147,1715,315,117,Rep
30073,2692,1786,737,169,Rep
30075,1047,880,127,40,Rep
30077,2768,2017,549,202,Rep
30079,686,555,100,31,Rep
30081,22063,14673,6166,1224,Rep
30083,4812,3885,669,258,Rep
30085,3486,1722,1504,260,Rep
30087,3357,2211,969,177,Rep
30089,5871,4268,1211,392,Rep
30091,1825,1237,476,112,Rep
30093,16122,6252,8545,1325,Dem
30095,4816,3630,904,282,Rep
30097,2077,1580,398,99,Rep
30099,3143,2152,803,188,Rep
30101,2018,1495,399,124,Rep
30103,441,350,59,32,Rep
30105,3860,2697,886,277,Rep
30107,932,698,179,55,Rep
30109,533,460,55,18,Rep
30111,64675,38675,21117,4883,Rep
31001,13172,9205,3272,695,Rep
31003,3220,2717,381,122,Rep
31005,263,237,16,10,Rep
31007,390,355,18,17,Rep
31009,313,273,30,10,Rep
31011,2867,2299,414,154,Rep
31013,4761,3550,953,258,Rep
31015,1142,978,128,36,Rep
31017,1579,1380,153,46,Rep
31019,20477,14424,4690,1363,Rep
31021,3523,2360,928,235,Rep
31023,3914,3068,690,156,Rep
31025,12609,8388,3461,760,Rep
31027,4360,3533,572,255,Rep
31029,1851,1621,171,59,Rep
31031,3082,2623,317,142,Rep
31033,4569,3610,702,257,Rep
31035,2973,2373,470,130,Rep
31037,3172,2171,857,144,Rep
31039,3988,3095,712,181,Rep
31041,5489,4616,635,238,Rep
31043,7259,4028,2904,327,Rep
31045,3578,2559,785,234,Rep
31047,8486,5935,2116,435,Rep
31049,977,809,120,48,Rep
31051,2744,2041,556,147,Rep
31053,14959,9736,4451,772,Rep
31055,219531,102151,105207,12173,Dem
31057,949,823,89,37,Rep
31059,2879,2100,610,169,Rep
31061,1656,1345,250,61,Rep
31063,1310,1106,161,43,Rep
31065,2315,1915,304,96,Rep
31067,9854,6333,2930,591,Rep
31069,1063,869,153,41,Rep
31071,968,819,121,28,Rep
31073,1000,792,165,43,Rep
31075,394,367,20,7,Rep
31077,1165,911,210,44,Rep
31079,21331,14139,6142,1050,Rep
31081,4902,3763,873,266,Rep
31083,1582,1302,219,61,Rep
31085,510,471,30,9,Rep
31087,1440,1216,158,66,Rep
31089,4979,4275,522,182,Rep
31091,414,355,40,19,Rep
31093,2958,2284,544,130,Rep
31095,3430,2387,831,212,Rep
31097,2051,1348,560,143,Rep
31099,3242,2519,550,173,Rep
31101,3945,3203,560,182,Rep
31103,514,458,39,17,Rep
31105,1636,1317,227,92,Rep
31107,4061,3181,715,165,Rep
31109,129803,60456,60533,8814,Dem
31111,15674,11992,2878,804,Rep
31113,451,400,32,19,Rep
31115,382,323,48,11,Rep
31117,286,257,14,15,Rep
31119,13956,10518,2663,775,Rep
31121,3707,2914,601,192,Rep
31123,2166,1788,282,96,Rep
31125,1599,1257,280,62,Rep
31127,3035,2068,765,202,Rep
31129,2153,1709,348,96,Rep
31131,7279,4833,2017,429,Rep
31133,1314,970,279,65,Rep
31135,1418,1202,160,56,Rep
31137,4609,3832,571,206,Rep
31139,3580,3052,382,146,Rep
31141,14047,10864,2612,571,Rep
31143,2538,2019,411,108,Rep
31145,5061,4212,638,211,Rep
31147,3666,2684,798,184,Rep
31149,793,687,70,36,Rep
31151,4795,2849,1630,316,Rep
31153,77781,44649,27704,5428,Rep
31155,10598,7486,2509,603,Rep
31157,13895,9952,3151,792,Rep
31159,7754,5451,1881,422,Rep
31161,2565,2192,286,87,Rep
31163,1553,1143,338,72,Rep
31165,709,602,77,30,Rep
31167,2748,2173,417,158,Rep
31169,2613,1993,490,130,Rep
31171,387,344,30,13,Rep
31173,2029,1013,911,105,Rep
31175,2172,1770,337,65,Rep
31177,10584,7374,2606,604,Rep
31179,3740,2675,828,237,Rep
31181,1687,1320,306,61,Rep
31183,459,377,62,20,Rep
31185,6256,4686,1181,389,Rep
32001,10936,7828,2210,898,Rep
32003,765421,319571,401068,44782,Dem
32005,27871,17406,8453,2012,Rep
32007,18545,13542,3400,1603,Rep
32009,423,329,65,29,Rep
32011,854,723,74,57,Rep
32013,6433,4521,1386,526,Rep
32015,2413,1828,403,182,Rep
32017,2132,1671,285,176,Rep
32019,23762,16005,6146,1611,Rep
32021,1997,1179,637,181,Rep
32023,19592,13320,5095,1177,Rep
32027,1982,1403,430,149,Rep
32029,2558,1616,752,190,Rep
32031,209282,94529,97032,17721,Dem
32033,3773,2723,707,343,Rep
32510,25016,13125,9610,2281,Rep
33001,34462,19315,13517,1630,Rep
33003,29063,14635,12987,1441,Rep
33005,41080,16876,22064,2140,Dem
33007,15252,7951,6558,743,Rep
33009,50062,19010,28508,2544,Dem
33011,210209,99873,99348,10988,Rep
33013,81668,37631,40056,3981,Dem
33015,178831,90447,79994,8390,Rep
33017,67900,29064,34884,3952,Dem
33019,22101,10796,10210,1095,Rep
34001,105738,47882,54472,3384,Dem
34003,383965,163220,209251,11494,Dem
34005,194988,79539,108361,7088,Dem
34007,220437,71020,142375,7042,Dem
34009,48375,28237,18626,1512,Rep
34011,53018,24213,27045,1760,Dem
34013,299808,62059,231031,6718,Dem
34015,138388,66949,66355,5084,Rep
34017,201425,45615,149980,5830,Dem
34019,70582,38565,28797,3220,Rep
34021,141332,42604,93721,5007,Dem
34023,282668,108981,164887,8800,Dem
34025,311474,165305,135825,10344,Rep
34027,248848,125376,114437,9035,Rep
34029,259592,170103,81845,7644,Rep
34031,189099,71488,112608,5003,Dem
34033,29220,16256,11766,1198,Rep
34035,154249,64640,83839,5770,Dem
34037,73860,46486,24132,3242,Rep
34039,219385,67582,145412,6391,Dem
34041,48442,29393,16991,2058,Rep
35001,269861,93874,141960,34027,Dem
35003,2024,1453,426,145,Rep
35005,20159,12869,5530,1760,Rep
35006,7975,3179,3721,1075,Dem
35007,5271,2569,2118,584,Rep
35009,11292,7560,2776,956,Rep
35011,903,617,192,94,Rep
35013,69324,25095,37543,6686,Dem
35015,19523,13124,5008,1391,Rep
35017,12633,5251,6226,1156,Dem
35019,1809,591,962,256,Dem
35021,527,311,156,60,Rep
35023,1836,906,780,150,Rep
35025,17369,12306,3877,1186,Rep
35027,8856,5889,2329,638,Rep
35028,10430,3329,5443,1658,Dem
35029,7245,3478,3195,572,Rep
35031,20791,4893,13162,2736,Dem
35033,2429,662,1533,234,Dem
35035,19636,11756,6033,1847,Rep
35037,3550,2208,1016,326,Rep
35039,14767,3583,9534,1650,Dem
35041,5855,3865,1445,545,Rep
35043,60597,25748,27405,7444,Dem
35045,45476,27879,12826,4771,Rep
35047,10662,2302,7249,1111,Dem
35049,70082,14198,49956,5928,Dem
35051,5129,2998,1600,531,Rep
35053,6756,2592,3275,889,Dem
35055,15072,2706,10550,1816,Dem
35057,6250,3695,1770,785,Rep
35059,1688,1214,318,156,Rep
35061,27350,13175,10810,3365,Rep
36001,125644,44227,74775,6642,Dem
36003,17111,11712,4473,926,Rep
36005,358857,34424,318403,6030,Dem
36007,77657,38077,35212,4368,Rep
36009,28961,18668,8717,1576,Rep
36011,30124,16194,12202,1728,Rep
36013,49381,29418,17281,2682,Rep
36015,33195,19025,12394,1776,Rep
36017,18113,11024,5943,1146,Rep
36019,28378,13181,13446,1751,Dem
36021,27255,12756,13123,1376,Dem
36023,18424,9207,7976,1241,Rep
36025,17778,11012,5825,941,Rep
36027,120199,58163,56874,5162,Rep
36029,383248,173817,192065,17366,Dem
36031,15079,7275,6760,1044,Rep
36033,15148,7636,6517,995,Rep
36035,19563,12759,5805,999,Rep
36037,24463,15986,6946,1531,Rep
36039,18869,11546,6370,953,Rep
36041,2688,1795,752,141,Rep
36043,24261,15664,7289,1308,Rep
36045,34263,19947,12289,2027,Rep
36047,746295,133653,595086,17556,Dem
36049,10312,6916,2828,568,Rep
36051,31363,19211,10478,1674,Rep
36053,27392,14901,10548,1943,Rep
36055,320164,128871,174063,17230,Dem
36057,17438,10579,5961,898,Rep
36059,599649,275479,307326,16844,Dem
36061,591368,58935,515481,16952,Dem
36063,86000,49223,32888,3889,Rep
36065,83876,48490,30749,4637,Rep
36067,191962,78277,102915,10770,Dem
36069,47664,24343,20233,3088,Rep
36071,140753,72129,63037,5587,Rep
36073,16722,11582,4327,813,Rep
36075,44122,25870,15614,2638,Rep
36077,23024,12284,9285,1455,Rep
36079,44186,25241,17363,1582,Rep
36081,627021,138550,473389,15082,Dem
36083,65991,31933,30039,4019,Rep
36085,167209,95612,67561,4036,Rep
36087,123943,57148,63454,3341,Dem
36089,35154,18450,14659,2045,Rep
36091,104089,51088,46546,6455,Rep
36093,61629,27268,30870,3491,Dem
36095,12673,8173,3777,723,Rep
36097,8423,5179,2761,483,Rep
36099,12727,6719,5175,833,Rep
36101,38373,25091,11215,2067,Rep
36103,625720,328403,276953,20364,Rep
36105,26509,14626,10983,900,Rep
36107,20556,12528,6852,1176,Rep
36109,37747,9647,25555,2545,Dem
36111,77134,32962,40010,4162,Dem
36113,27568,14284,11366,1918,Rep
36115,22401,12770,8238,1393,Rep
36117,36598,21935,12378,2285,Rep
36119,378506,121643,245670,11193,Dem
36121,16280,11884,3585,811,Rep
36122,8975,5180,3219,576,Rep
37001,69264,38235,29268,1761,Rep
37003,18011,13826,3750,435,Rep
37005,5214,3789,1300,125,Rep
37007,10394,4480,5785,129,Dem
37009,13160,9353,3476,331,Rep
37011,8060,6226,1670,164,Rep
37013,23599,14478,8699,422,Rep
37015,9380,3476,5837,67,Dem
37017,15743,8511,7021,211,Rep
37019,67255,42440,23117,1698,Rep
37021,134507,55339,74937,4231,Dem
37023,37638,25741,10930,967,Rep
37025,91002,53224,35048,2730,Rep
37027,35747,26499,8403,845,Rep
37029,4939,3527,1266,146,Rep
37031,36919,26228,9806,885,Rep
37033,10515,5758,4549,208,Rep
37035,71065,48062,21050,1953,Rep
37037,39080,17012,20953,1115,Dem
37039,13860,10711,2809,340,Rep
37041,7108,3983,2965,160,Rep
37043,5885,4395,1352,138,Rep
37045,44137,28394,14896,847,Rep
37047,23472,14177,8991,304,Rep
37049,46231,27556,17481,1194,Rep
37051,124402,50593,70523,3286,Dem
37053,12423,9070,2879,474,Rep
37055,19009,11283,7079,647,Rep
37057,72013,52870,17328,1815,Rep
37059,21350,15502,5228,620,Rep
37061,20601,12151,8196,254,Rep
37063,150543,27879,118783,3881,Dem
37065,24653,8219,16152,282,Dem
37067,172509,74793,92488,5228,Dem
37069,29902,16320,12811,771,Rep
37071,94872,61467,30982,2423,Rep
37073,5328,2851,2371,106,Rep
37075,4094,3260,761,73,Rep
37077,26920,13500,12827,593,Rep
37079,8013,4358,3570,85,Rep
37081,252087,97461,147949,6677,Dem
37083,24881,8954,15642,285,Dem
37085,44955,27278,16452,1225,Rep
37087,30156,18844,10414,898,Rep
37089,56810,35535,19664,1611,Rep
37091,10100,3081,6886,133,Dem
37093,17847,7676,9608,563,Dem
37095,2273,1275,956,42,Rep
37097,80727,54164,24441,2122,Rep
37099,18004,9706,7564,734,Rep
37101,84553,54082,28153,2318,Rep
37103,5039,2941,2041,57,Rep
37105,24676,13625,10380,671,Rep
37107,25500,13354,11752,394,Rep
37109,39449,28653,9836,960,Rep
37111,19557,14517,4645,395,Rep
37113,17336,12035,4841,460,Rep
37115,10966,6735,3899,332,Rep
37117,11852,5874,5814,164,Rep
37119,461834,154303,292258,15273,Dem
37121,7948,6225,1585,138,Rep
37123,11449,7070,4108,271,Rep
37125,47746,30273,16148,1325,Rep
37127,46903,23142,23024,737,Rep
37129,108737,54665,50219,3853,Rep
37131,9761,3556,6113,92,Dem
37133,55364,36342,17156,1866,Rep
37135,79830,18373,59105,2352,Dem
37137,6772,4225,2427,120,Rep
37139,16964,8082,8455,427,Dem
37141,27072,17317,9086,669,Rep
37143,6595,4143,2291,161,Rep
37145,19303,11116,7772,415,Rep
37147,78264,35191,40967,2106,Dem
37149,10723,6738,3715,270,Rep
37151,63615,49156,13074,1385,Rep
37153,18813,10199,8290,324,Rep
37155,39454,20294,18377,783,Rep
37157,41374,26463,14057,854,Rep
