zipcode,city,zip_median_income
27701,"Durham, North Carolina",23871
27823,"Enfield, North Carolina",23861
27553,"Manson, North Carolina",23826
28501,"Kinston, North Carolina",23808
28430,"Cerro Gordo, North Carolina",23702
27584,"Townsville, North Carolina",23571
27831,"Garysburg, North Carolina",23525
28102,"Mc Farlan, North Carolina",23500
27922,"Cofield, North Carolina",23309
28662,"Pineola, North Carolina",22813
28622,"Elk Park, North Carolina",22468
27824,"Engelhard, North Carolina",22452
27942,"Harrellsville, North Carolina",22371
28552,"Lowland, North Carolina",22361
28401,"Wilmington, North Carolina",22204
27897,"Woodland, North Carolina",22045
28708,"Balsam Grove, North Carolina",22000
27874,"Scotland Neck, North Carolina",21875
27872,"Roxobel, North Carolina",21719
27986,"Winton, North Carolina",21613
28433,"Clarkton, North Carolina",21343
28702,"Almond, North Carolina",21250
28439,"Fair Bluff, North Carolina",21184
28801,"Asheville, North Carolina",20804
28368,"Olivia, North Carolina",20500
28076,"Henrietta, North Carolina",20435
27853,"Margarettsville, North Carolina",20298
28019,"Caroleen, North Carolina",19439
27570,"Ridgeway, North Carolina",19231
27841,"Hassell, North Carolina",19167
27941,"Harbinger, North Carolina",18750
28452,"Longwood, North Carolina",18333
28367,"Norman, North Carolina",18125
27821,"Edward, North Carolina",17857
27506,"Buies Creek, North Carolina",17500
28581,"Stacy, North Carolina",17260
27844,"Hollister, North Carolina",16969
27568,"Pine Level, North Carolina",16875
27601,"Raleigh, North Carolina",16616
28733,"Fontana Dam, North Carolina",13750
27109,"Winston Salem, North Carolina",0
28223,"Charlotte, North Carolina",0
