zipcode,city,zip_median_income
28610,"Claremont, North Carolina",41936
28791,"Hendersonville, North Carolina",41928
28731,"Flat Rock, North Carolina",41900
27103,"Winston Salem, North Carolina",41888
28412,"Wilmington, North Carolina",41877
27207,"Bear Creek, North Carolina",41867
27215,"Burlington, North Carolina",41858
28146,"Salisbury, North Carolina",41776
28314,"Fayetteville, North Carolina",41775
28730,"Fairview, North Carolina",41763
28717,"Cashiers, North Carolina",41696
27707,"Durham, North Carolina",41695
28741,"Highlands, North Carolina",41680
27597,"Zebulon, North Carolina",41646
27244,"Elon, North Carolina",41515
28164,"Stanley, North Carolina",41447
27703,"Durham, North Carolina",41435
28348,"Hope Mills, North Carolina",41341
28213,"Charlotte, North Carolina",41340
28671,"Rutherford College, North Carolina",41339
28650,"Maiden, North Carolina",41298
28387,"Southern Pines, North Carolina",41250
28080,"Iron Station, North Carolina",41238
27302,"Mebane, North Carolina",41171
28311,"Fayetteville, North Carolina",41128
28718,"Cedar Mountain, North Carolina",41094
27298,"Liberty, North Carolina",41006
27948,"Kill Devil Hills, North Carolina",40968
27605,"Raleigh, North Carolina",40963
27349,"Snow Camp, North Carolina",40902
28803,"Asheville, North Carolina",40880
27019,"Germanton, North Carolina",40846
27256,"Gulf, North Carolina",40833
27968,"Rodanthe, North Carolina",40833
28147,"Salisbury, North Carolina",40819
27606,"Raleigh, North Carolina",40754
27880,"Sims, North Carolina",40741
28216,"Charlotte, North Carolina",40740
27295,"Lexington, North Carolina",40739
28613,"Conover, North Carolina",40722
28429,"Castle Hayne, North Carolina",40683
27509,"Butner, North Carolina",40640
27243,"Efland, North Carolina",40625
27501,"Angier, North Carolina",40622
28722,"Columbus, North Carolina",40602
28304,"Fayetteville, North Carolina",40546
27409,"Greensboro, North Carolina",40483
28168,"Vale, North Carolina",40467
27350,"Sophia, North Carolina",40443
27804,"Rocky Mount, North Carolina",40376
28678,"Stony Point, North Carolina",40354
28115,"Mooresville, North Carolina",40322
28038,"Earl, North Carolina",40313
27921,"Camden, North Carolina",40238
28739,"Hendersonville, North Carolina",40226
28138,"Rockwell, North Carolina",40225
27355,"Staley, North Carolina",40217
27920,"Buxton, North Carolina",40205
28461,"Southport, North Carolina",40129
28787,"Weaverville, North Carolina",40069
27212,"Blanch, North Carolina",40063
